epoch,categorical_crossentropy,loss,lr,val_categorical_crossentropy,val_loss
0,0.0220602794836,0.0228071722505,0.001,0.0260108130279,0.0270086171961
1,0.0213707135037,0.0220896623719,0.001,0.0263585121799,0.0273591592606
2,0.0218403420596,0.0225731870717,0.001,0.0250819957488,0.0260203653393
3,0.0209400881657,0.0216395789001,0.001,0.026293587443,0.0274289338975
4,0.0207818446027,0.0214776382132,0.001,0.0258937423696,0.0269262001573
5,0.0203441070809,0.02101753253,0.001,0.0266089673859,0.0277456700097
6,0.0207536288822,0.0214422765587,0.001,0.0265424700731,0.0276348933804
7,0.0202801271201,0.0209506677476,0.001,0.0254865750872,0.0264698807528
8,0.0198760530047,0.0205279989342,0.001,0.0250410310219,0.0260670514073
9,0.0197977506694,0.020445897981,0.001,0.0276769238046,0.0287871758101
10,0.0196626920128,0.0203055555562,0.001,0.0256086216635,0.0267019110757
11,0.0192961666824,0.019927910748,0.001,0.0283451336939,0.0294738219472
12,0.0197209851164,0.0203666491003,0.001,0.0225525943537,0.0234052122545
13,0.0195624015804,0.0202032621862,0.001,0.0259563133397,0.0269915067994
14,0.0194149748247,0.0200500665275,0.001,0.0259535603187,0.0270030275742
15,0.0200156763502,0.0206754979567,0.001,0.0287850975638,0.029838782861
16,0.0191097437708,0.0197293256097,0.001,0.0246524602376,0.0255528697744
17,0.0188146239883,0.0194239881827,0.001,0.0246972031136,0.0256608770405
18,0.0187119661274,0.0193149827167,0.001,0.0235559573976,0.0245238889411
19,0.0184869699771,0.0190817630133,0.001,0.0224936865648,0.0233951569535
20,0.0181880755033,0.0187720990587,0.001,0.0207667143487,0.0215909258538
21,0.0183169705818,0.0189064706208,0.001,0.0289261997866,0.0301991316767
22,0.0178203394064,0.0183920684841,0.001,0.0242336507559,0.0252337644909
23,0.0191427322288,0.0197648040764,0.001,0.0255781811083,0.0266127461643
24,0.0179441616049,0.018514745969,0.001,0.0186497517106,0.0193624097439
25,0.0183558849195,0.0189455975032,0.001,0.027348425705,0.0284396205349
26,0.0180373475883,0.0186152295653,0.001,0.0263890130131,0.0275168430211
27,0.0189622271356,0.0195752205881,0.001,0.015299329723,0.0157824615268
28,0.0175344809436,0.018094984374,0.0001,0.0264211689827,0.0275206074018
29,0.0171038284527,0.0176434657927,0.0001,0.0242888157671,0.0252949692989
